image,experiment,source,source_param,channel_code,channel_param,channel,channel_p,psnr_db,mse,accuracy_exact,accuracy_tol5,ber_raw,ber_decoded,n_info_bits,n_tx_bits,code_rate,compression_ratio,encode_ms,decode_ms
gradient,bec_sweep,dct,60,repetition,5,bec,0.2,18.793050800269494,858.5691528320312,0.48626708984375,0.90106201171875,0.19992525246361778,0.00022881898892516093,131108,655540,0.2,0.9997254172132898,8.230599999933474,18.255599999974947
gradient,bec_sweep,dct,60,repetition,5,bec,0.3,12.957697154624002,3290.869384765625,0.2760009765625,0.57623291015625,0.29977728285077954,0.0013576593342892883,131108,655540,0.2,0.9997254172132898,8.205800000268937,14.029699999809964
gradient,bec_sweep,dct,60,hamming,4,bec,0.0,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.0,0.0,131108,229439,0.5714285714285714,0.9997254172132898,6.825699999808421,335.3362000002562
gradient,bec_sweep,dct,60,hamming,4,bec,0.01,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.010185713849868593,0.0,131108,229439,0.5714285714285714,0.9997254172132898,9.003199999824574,343.90399999983856
gradient,bec_sweep,dct,60,hamming,4,bec,0.03,51.433849381519785,0.4674072265625,0.54779052734375,1.0,0.029916448380615326,0.0,131108,229439,0.5714285714285714,0.9997254172132898,11.368899999979476,378.3926999999494
gradient,bec_sweep,dct,60,hamming,4,bec,0.1,26.670742755751565,139.960693359375,0.531494140625,0.96875,0.10088956105980239,0.00010678219483174177,131108,229439,0.5714285714285714,0.9997254172132898,9.55389999990075,535.9689000001708
gradient,bec_sweep,dct,60,hamming,4,bec,0.2,18.025975066078836,1024.4313354492188,0.46466064453125,0.83935546875,0.20014470077013935,0.0007169661652988376,131108,229439,0.5714285714285714,0.9997254172132898,5.388000000039028,678.472900000088
gradient,bec_sweep,dct,60,hamming,4,bec,0.3,10.755618791563595,5464.0980224609375,0.03955078125,0.3048095703125,0.2994565004205911,0.00380602251578851,131108,229439,0.5714285714285714,0.9997254172132898,11.470599999938713,807.5434999996105
noise,rd_dct,dct,5,none,3,bsc,0.0,26.04970865257028,161.4765625,0.03302001953125,0.33660888671875,0.0,0.0,49188,49188,1.0,2.66471497113117,2.992900000208465,2.967400000216003
noise,rd_dct,dct,10,none,3,bsc,0.0,27.555216918459063,114.1717529296875,0.03900146484375,0.3984375,0.0,0.0,65572,65572,1.0,1.9989019703531996,5.480400000124064,5.643899999995483
